+--------------------------------------------------------------------------------+--------+
|                                   Base Path                                    | Amount |
+--------------------------------------------------------------------------------+--------+
|                         /data3/data1/paper/arp/pgb015                          |  134   |
|                   /data3/data1/paper/damo/gains/experiments                    |   1    |
|                     /data3/data1/paper/damo/psa331/psa331                      |   80   |
|                         /data3/data1/paper/damo/psa457                         |   1    |
|                      /data3/data1/paper/damo/RFI/uv_files                      |   3    |
|                          /data3/data1/paper/damo/tmp                           |   2    |
|                       /data3/data1/paper/jacobsda/gmodel                       |   44   |
|                       /data3/data1/paper/jacobsda/pgb322                       |   1    |
|                       /data3/data1/paper/jacobsda/psa332                       |   26   |
|                       /data3/data1/paper/jacobsda/psa334                       |   17   |
|                     /data3/data1/paper/jacobsda/psa334/vir                     |   52   |
|                      /data3/data1/paper/jacobsda/psa335.2                      |   44   |
|                       /data3/data1/paper/jacobsda/psa336                       |  121   |
|                       /data3/data1/paper/jacobsda/psa455                       |  149   |
|                   /data3/data1/paper/jacobsda/stokes/pgb050                    |  143   |
|                       /data3/data1/paper/jaguirre/pgb322                       |   1    |
|                         /data3/data1/paper/psa/psa228                          |  463   |
|                           /data3/data2/home/aparsons                           |   1    |
|                /data3/data2/home/cacheng/compressed128/psa6620                 |  280   |
|                    /data3/data2/home/jacobsda/arrays/pgb8G                     |   9    |
|              /data3/data2/home/jacobsda/psa64_analysis/batch_FHD               |   1    |
| /data3/data2/home/jacobsda/psa64_analysis/beamforms/July/pre_compression_error |   79   |
|          /data3/data2/home/jacobsda/psa64_analysis/beamforms/July_v1           |   96   |
|         /data3/data2/home/jacobsda/psa64_analysis/beamforms/September          |   65   |
|                /data3/data2/home/jacobsda/tmp/vartestspsa/test0                |   1    |
|                           /data3/data2/home/zakiali                            |   1    |
|                  /data3/data2/home/zakiali/temp/RecoveredData                  |   37   |
|                          /data3/data2/paper/arp/pk002                          |  250   |
|                    /data3/data2/paper/psa/2010-10-15/psa455                    |  116   |
|                    /data3/data2/paper/psa/2010-10-15/psa456                    |  104   |
|                         /data3/paper/damo/psa819/data                          |   27   |
|                         /data3/paper/eor_reduce/tests                          |   2    |
|                          /data3/paper/fiducial_night                           |  111   |
|                          /data3/paper/gnicole/kj_test                          |   1    |
|                       /data3/paper/gnicole/psa64/psa743                        |   40   |
|                       /data3/paper/gnicole/psa64/psa744                        |   88   |
|                       /data3/paper/gnicole/psa64/psa745                        |   12   |
|                       /data3/paper/gnicole/psa64/psa746                        |   8    |
|                             /data3/paper/jkris/366                             |  162   |
|                             /data3/paper/jkris/367                             |  175   |
|                          /data3/paper/jkris/560x/5600                          |  116   |
|                          /data3/paper/jkris/560x/5601                          |  143   |
|                          /data3/paper/jkris/560x/5602                          |  144   |
|                          /data3/paper/jkris/560x/5603                          |  144   |
|                          /data3/paper/jkris/560x/5604                          |  143   |
|                          /data3/paper/jkris/560x/5605                          |  144   |
|                          /data3/paper/jkris/560x/5606                          |   54   |
|                        /data3/paper/ksanc/gb_red/interm                        |  120   |
|                            /data3/paper/psa/Dec2010                            |  114   |
|                        /data3/paper/psa/Dec2011/psa890                         |  829   |
|                      /data3/paper/psa/Dec2011/psa898_test                      |  109   |
|                        /data3/paper/psa/Dec2011/psa899                         |   92   |
|                        /data3/paper/psa/Dec2011/psa900                         |  115   |
|                        /data3/paper/psa/Dec2011/psa901                         |  112   |
|                        /data3/paper/psa/Dec2011/psa902                         |   88   |
|                        /data3/paper/psa/Jul2011/pgb708                         |   8    |
|                        /data3/paper/psa/Jul2011/psa742                         |   56   |
|                        /data3/paper/psa/Jul2011/psa743                         |   20   |
|                        /data3/paper/psa/Jul2011/psa745                         |   92   |
|                        /data3/paper/psa/Jul2011/psa746                         |  290   |
|                     /data3/paper/psa/Jul2011/psa746/istef                      |   98   |
|                      /data3/paper/psa/Jul2011/psa746/RRE                       |   96   |
|                        /data3/paper/psa/Jul2011/psa747                         |  205   |
|                     /data3/paper/psa/Jul2011/psa747/istef                      |  132   |
|                      /data3/paper/psa/Jul2011/psa747/Sun                       |   52   |
|                        /data3/paper/psa/Jul2011/psa748                         |  207   |
|                   /data3/paper/psa/Jul2011/psa748/compressed                   |  204   |
|                     /data3/paper/psa/Jul2011/psa748/istef                      |  104   |
|                        /data3/paper/psa/Jul2011/psa749                         |   98   |
|                     /data3/paper/psa/Jul2011/psa749/istef                      |   98   |
|             /data3/paper/psa/Jul2011/test/psa0140_8TB/data/psa743              |   1    |
|            /data3/paper/psa/Jul2011/test/psa0140_8TB/data/psa743_2             |   2    |
|          /data3/paper/psa/Jul2011/test/psa0140_8TB/data/psa743_long2           |   69   |
|                   /data3/paper/psa/Jul2011/test/psa745_test                    |   28   |
|                   /data3/paper/psa/Jul2011/test/psa747_test                    |   5    |
|                        /data3/paper/psa/Jun2011/psa731                         |   71   |
|                        /data3/paper/psa/Jun2011/psa734                         |   99   |
|                        /data3/paper/psa/Jun2011/psa735                         |   72   |
|                        /data3/paper/psa/Jun2011/psa736                         |   76   |
|                        /data3/paper/psa/Jun2011/psa742                         |   56   |
|                        /data3/paper/psa/Jun2011/psa743                         |   1    |
|                       /data3/paper/psa/Jun2011/psa743_2                        |   2    |
|                      /data3/paper/psa/Jun2011/psa743_long                      |   20   |
|                     /data3/paper/psa/Jun2011/psa743_long2                      |   69   |
|                        /data3/paper/psa/Jun2011/psa744                         |   85   |
|                        /data3/paper/psa/Jun2011/psa746                         |   6    |
| /data3/paper/psa/May2010/paper3image/home/jmanley/casper_correlator-1.1/tests  |   2    |
|                        /data3/paper/psa/May2010/psa331                         |   94   |
|                     /data3/paper/psa/May2010/psa331/tests                      |   7    |
|                        /data3/paper/psa/May2010/psa332                         |  125   |
|                        /data3/paper/psa/May2010/psa333                         |   62   |
|                        /data3/paper/psa/May2010/psa334                         |  101   |
|                        /data3/paper/psa/May2010/psa335                         |   17   |
|                       /data3/paper/psa/May2010/psa335.2                        |   92   |
|                        /data3/paper/psa/May2010/psa336                         |  121   |
|                        /data3/paper/psa/May2010/psa337                         |   92   |
|               /data3/paper/psa/May2010/tests/psa332/equalization               |   46   |
|               /data3/paper/psa/May2010/tests/psa335/equalization               |   1    |
|                         /data4/paper/128_sim_data/sim4                         |  424   |
|                          /data4/paper/2011EoR/2455903                          |  284   |
|                          /data4/paper/2011EoR/2455904                          |  284   |
|                          /data4/paper/2011EoR/2455905                          |  280   |
|                          /data4/paper/2011EoR/2455906                          |  284   |
|                          /data4/paper/2011EoR/2455907                          |  282   |
|                          /data4/paper/2011EoR/2455908                          |  562   |
|                          /data4/paper/2011EoR/2455910                          |  284   |
|                          /data4/paper/2011EoR/2455911                          |  284   |
|                          /data4/paper/2011EoR/2455912                          |  282   |
|                          /data4/paper/2011EoR/2455913                          |   26   |
|                          /data4/paper/2011EoR/2455918                          |  246   |
|                          /data4/paper/2011EoR/2455919                          |  282   |
|                          /data4/paper/2011EoR/2455920                          |  284   |
|                          /data4/paper/2011EoR/2455921                          |  284   |
|                          /data4/paper/2011EoR/2455922                          |  282   |
|                          /data4/paper/2011EoR/2455923                          |  284   |
|                          /data4/paper/2011EoR/2455924                          |  284   |
|                          /data4/paper/2011EoR/2455925                          |  268   |
|                          /data4/paper/2011EoR/2455926                          |  284   |
|                          /data4/paper/2011EoR/2455927                          |  284   |
|                          /data4/paper/2011EoR/2455928                          |  282   |
|                          /data4/paper/2011EoR/2455929                          |  284   |
|                          /data4/paper/2011EoR/2455930                          |  278   |
|                          /data4/paper/2011EoR/2455931                          |  286   |
|                          /data4/paper/2011EoR/2455932                          |  282   |
|                          /data4/paper/2011EoR/2455933                          |  286   |
|                          /data4/paper/2011EoR/2455934                          |   20   |
|                          /data4/paper/2011EoR/2455936                          |  176   |
|                          /data4/paper/2011EoR/2455937                          |   54   |
|                          /data4/paper/2011EoR/2455938                          |   4    |
|                          /data4/paper/2011EoR/2455940                          |   26   |
|                          /data4/paper/2011EoR/2455944                          |  210   |
|                          /data4/paper/2011EoR/2455945                          |  234   |
|                          /data4/paper/2011EoR/2455946                          |  202   |
|                          /data4/paper/2011EoR/2455947                          |  284   |
|                          /data4/paper/2011EoR/2455948                          |  284   |
|                          /data4/paper/2011EoR/2455949                          |  286   |
|                          /data4/paper/2011EoR/2455950                          |  286   |
|                          /data4/paper/2011EoR/2455951                          |  282   |
|                          /data4/paper/2011EoR/2455952                          |  244   |
|                          /data4/paper/2011EoR/2455953                          |  286   |
|                          /data4/paper/2011EoR/2455954                          |  286   |
|                          /data4/paper/2011EoR/2455955                          |  284   |
|                          /data4/paper/2011EoR/2455956                          |   22   |
|                          /data4/paper/2011EoR/2455958                          |  246   |
|                          /data4/paper/2011EoR/2455959                          |  282   |
|                          /data4/paper/2011EoR/2455960                          |  284   |
|                          /data4/paper/2011EoR/2455961                          |  284   |
|                          /data4/paper/2011EoR/2455962                          |  280   |
|                          /data4/paper/2011EoR/2455963                          |  284   |
|                          /data4/paper/2011EoR/2455964                          |   32   |
|                          /data4/paper/2011EoR/2455965                          |  218   |
|                          /data4/paper/2011EoR/2455966                          |  284   |
|                          /data4/paper/2011EoR/2455967                          |   20   |
|                          /data4/paper/2011EoR/2455971                          |  106   |
|                          /data4/paper/2011EoR/2455972                          |  188   |
|                          /data4/paper/2011EoR/2455973                          |  188   |
|                          /data4/paper/2011EoR/2455974                          |  188   |
|                          /data4/paper/2011EoR/2455975                          |  188   |
|                          /data4/paper/2011EoR/2455976                          |  188   |
|                          /data4/paper/2011EoR/2455977                          |  188   |
|                          /data4/paper/2011EoR/2455978                          |  184   |
|                          /data4/paper/2011EoR/2455979                          |  188   |
|                          /data4/paper/2011EoR/2455982                          |  124   |
|                          /data4/paper/2011EoR/2455983                          |   52   |
|                          /data4/paper/2011EoR/2455984                          |  120   |
|                          /data4/paper/2011EoR/2455985                          |   74   |
|                          /data4/paper/2011EoR/2455987                          |  188   |
|                          /data4/paper/2011EoR/2455988                          |  188   |
|                          /data4/paper/2011EoR/2455989                          |  188   |
|                          /data4/paper/2011EoR/2455990                          |  187   |
|                          /data4/paper/2011EoR/2455991                          |  187   |
|                          /data4/paper/2011EoR/2455992                          |  187   |
|                          /data4/paper/2011EoR/2455993                          |  188   |
|                          /data4/paper/2011EoR/2455994                          |  187   |
|                          /data4/paper/2011EoR/2455995                          |   2    |
|                          /data4/paper/2011EoR/2455996                          |  188   |
|                          /data4/paper/2011EoR/2455997                          |  188   |
|                          /data4/paper/2011EoR/2455998                          |  188   |
|                          /data4/paper/2011EoR/2456000                          |  188   |
|                          /data4/paper/2011EoR/2456001                          |  188   |
|                          /data4/paper/2011EoR/2456002                          |  190   |
|                          /data4/paper/2011EoR/2456003                          |  188   |
|                          /data4/paper/2011EoR/2456004                          |  190   |
|                          /data4/paper/2011EoR/2456005                          |  188   |
|                          /data4/paper/2011EoR/2456006                          |  188   |
|                        /data4/paper/2011EoR/OrphanFiles                        |   29   |
|                  /data4/paper/2011EoR/ProblemChildren/psa930                   |  105   |
|                         /data4/paper/2012EoR/psa_live                          |   2    |
|                     /data4/paper/2012EoR/psa_live/psa6214                      |   40   |
|                     /data4/paper/2012EoR/psa_live/psa6230                      |  162   |
|                     /data4/paper/2012EoR/psa_live/psa6240                      |  127   |
|                     /data4/paper/2012EoR/psa_live/psa6241                      |   16   |
|                     /data4/paper/2012EoR/psa_live/psa6242                      |   73   |
|                     /data4/paper/2012EoR/psa_live/psa6243                      |  126   |
|                     /data4/paper/2012EoR/psa_live/psa6244                      |  114   |
|                     /data4/paper/2012EoR/psa_live/psa6245                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6246                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6247                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6248                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6249                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6250                      |  134   |
|                     /data4/paper/2012EoR/psa_live/psa6251                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6252                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6253                      |  132   |
|                     /data4/paper/2012EoR/psa_live/psa6254                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6255                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6256                      |  137   |
|                     /data4/paper/2012EoR/psa_live/psa6257                      |  138   |
|                     /data4/paper/2012EoR/psa_live/psa6258                      |  139   |
|                     /data4/paper/2012EoR/psa_live/psa6259                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6260                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6261                      |  136   |
|                     /data4/paper/2012EoR/psa_live/psa6262                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6263                      |  140   |
|                     /data4/paper/2012EoR/psa_live/psa6264                      |  138   |
