+-----+------------+----------------------------------------------------+----------------------------------------------+-------------+--------+
| Era | Julian Day |                      Raw Path                      |               Compressed Path                | Type(R/C/B) | Amount |
+-----+------------+----------------------------------------------------+----------------------------------------------+-------------+--------+
|  64 |    5708    |       folio:/data3/paper/psa/Jul2011/pgb708/       |                     NULL                     |      R      |   8    |
|  64 |    5742    |       folio:/data3/paper/psa/Jul2011/psa742/       |                     NULL                     |      R      |   56   |
|  64 |    5743    |       folio:/data3/paper/psa/Jul2011/psa743/       |                     NULL                     |      R      |   20   |
|  64 |    5745    |       folio:/data3/paper/psa/Jul2011/psa745/       |                     NULL                     |      R      |   92   |
|  64 |    5745    |       folio:/data4/raw_data/Jul2011/psa745/        |                     NULL                     |      R      |   92   |
|  64 |    5746    |       folio:/data3/paper/psa/Jul2011/psa746/       |                     NULL                     |      R      |   98   |
|  64 |    5747    |       folio:/data3/paper/psa/Jul2011/psa747/       |                     NULL                     |      R      |   83   |
|  64 |    5748    |       folio:/data3/paper/psa/Jul2011/psa748/       |                     NULL                     |      R      |  105   |
|  64 |    5749    |       folio:/data3/paper/psa/Jul2011/psa749/       |                     NULL                     |      R      |   98   |
|  64 |    5817    |       folio:/data4/raw_data/Sep2011/psa817/        |                     NULL                     |      R      |   9    |
|  64 |    5818    |       folio:/data4/raw_data/Sep2011/psa817/        |                     NULL                     |      R      |  118   |
|  32 |    5819    |       folio:/data4/raw_data/Sep2011/psa819/        |                     NULL                     |      R      |   81   |
|  32 |    5820    |       folio:/data4/raw_data/Sep2011/psa820/        |                     NULL                     |      R      |   69   |
|  64 |    5821    |       folio:/data4/raw_data/Sep2011/psa821/        |                     NULL                     |      R      |   89   |
|  64 |    5822    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  139   |
|  64 |    5823    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  143   |
|  64 |    5824    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  144   |
|  64 |    5825    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  144   |
|  64 |    5826    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  143   |
|  64 |    5827    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  144   |
|  64 |    5828    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  144   |
|  64 |    5829    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  143   |
|  64 |    5830    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  144   |
|  64 |    5831    |       folio:/data4/raw_data/Sep2011/psa822/        |                     NULL                     |      R      |  115   |
|  32 |    5903    |                        NULL                        |     folio:/data4/paper/2011EoR/2455903/      |      C      |  142   |
|  32 |    5904    |                        NULL                        |     folio:/data4/paper/2011EoR/2455904/      |      C      |  142   |
